"id" "Ozone" "Solar.R" "Wind" "Temp" "Month" "Day"
"1" 41 190 7 67 5 1
"2" 36 118 8 72 5 2
"3" 12 149 13 74 5 3
"4" 18 313 12 62 5 4
"5" 20 178 14 56 5 5
"6" 28 193 15 66 5 6
"7" 23 299 9 65 5 7
"8" 19 99 14 59 5 8
"9" 8 19 20 61 5 9
"10" 27 194 9 69 5 10
"11" 7 159 7 74 5 11
"12" 16 256 10 69 5 12
"13" 11 290 9 66 5 13
"14" 14 274 11 68 5 14
"15" 18 65 13 58 5 15
"16" 14 334 12 64 5 16
"17" 34 307 12 66 5 17
"18" 6 78 18 57 5 18
"19" 30 322 12 68 5 19
"20" 11 44 10 62 5 20
"21" 1 8 10 59 5 21
"22" 11 320 17 73 5 22
"23" 4 25 10 61 5 23
"24" 32 92 12 61 5 24
"25" 15 66 17 57 5 25
"26" 31 266 15 58 5 26
"27" 21 142 8 57 5 27
"28" 23 13 12 67 5 28
"29" 45 252 15 81 5 29
"30" 115 223 6 79 5 30
"31" 37 279 7 76 5 31
"32" 40 286 9 78 6 1
"33" 31 287 10 74 6 2
"34" 39 242 16 67 6 3
"35" 61 186 9 84 6 4
"36" 60 220 9 85 6 5
"37" 48 264 14 79 6 6
"38" 29 127 10 82 6 7
"39" 83 273 7 87 6 8
"40" 71 291 14 90 6 9
"41" 39 323 12 87 6 10
"42" 69 259 11 93 6 11
"43" 70 250 9 92 6 12
"44" 23 148 8 82 6 13
"45" 36 332 14 80 6 14
"46" 36 322 12 79 6 15
"47" 21 191 15 77 6 16
"48" 37 284 21 72 6 17
"49" 20 37 9 65 6 18
"50" 12 120 12 73 6 19
"51" 13 137 10 76 6 20
"52" 38 150 6 77 6 21
"53" 34 59 2 76 6 22
"54" 27 91 5 76 6 23
"55" 38 250 6 76 6 24
"56" 27 135 8 75 6 25
"57" 31 127 8 78 6 26
"58" 19 47 10 73 6 27
"59" 27 98 12 80 6 28
"60" 24 31 15 77 6 29
"61" 37 138 8 83 6 30
"62" 135 269 4 84 7 1
"63" 49 248 9 85 7 2
"64" 32 236 9 81 7 3
"65" 39 101 11 84 7 4
"66" 64 175 5 83 7 5
"67" 40 314 11 83 7 6
"68" 77 276 5 88 7 7
"69" 97 267 6 92 7 8
"70" 97 272 6 92 7 9
"71" 85 175 7 89 7 10
"72" 37 139 9 82 7 11
"73" 10 264 14 73 7 12
"74" 27 175 15 81 7 13
"75" 66 291 15 91 7 14
"76" 7 48 14 80 7 15
"77" 48 260 7 81 7 16
"78" 35 274 10 82 7 17
"79" 61 285 6 84 7 18
"80" 79 187 5 87 7 19
"81" 63 220 12 85 7 20
"82" 16 7 7 74 7 21
"83" 44 258 10 81 7 22
"84" 45 295 12 82 7 23
"85" 80 294 9 86 7 24
"86" 108 223 8 85 7 25
"87" 20 81 9 82 7 26
"88" 52 82 12 86 7 27
"89" 82 213 7 88 7 28
"90" 50 275 7 86 7 29
"91" 64 253 7 83 7 30
"92" 59 254 9 81 7 31
"93" 39 83 7 81 8 1
"94" 9 24 14 81 8 2
"95" 16 77 7 82 8 3
"96" 78 219 7 86 8 4
"97" 35 190 7 85 8 5
"98" 66 202 5 87 8 6
"99" 122 255 4 89 8 7
"100" 89 229 10 90 8 8
"101" 110 207 8 90 8 9
"102" 78 222 9 92 8 10
"103" 33 137 12 86 8 11
"104" 44 192 12 86 8 12
"105" 28 273 12 82 8 13
"106" 65 157 10 80 8 14
"107" 25 64 12 79 8 15
"108" 22 71 10 77 8 16
"109" 59 51 6 79 8 17
"110" 23 115 7 76 8 18
"111" 31 244 11 78 8 19
"112" 44 190 10 78 8 20
"113" 21 259 16 77 8 21
"114" 9 36 14 72 8 22
"115" 31 255 13 75 8 23
"116" 45 212 10 79 8 24
"117" 168 238 3 81 8 25
"118" 73 215 8 86 8 26
"119" 69 153 6 88 8 27
"120" 76 203 10 97 8 28
"121" 118 225 2 94 8 29
"122" 84 237 6 96 8 30
"123" 85 188 6 94 8 31
"124" 96 167 7 91 9 1
"125" 78 197 5 92 9 2
"126" 73 183 3 93 9 3
"127" 91 189 5 93 9 4
"128" 47 95 7 87 9 5
"129" 32 92 16 84 9 6
"130" 20 252 11 80 9 7
"131" 23 220 10 78 9 8
"132" 21 230 11 75 9 9
"133" 24 259 10 73 9 10
"134" 44 236 15 81 9 11
"135" 21 259 16 76 9 12
"136" 28 238 6 77 9 13
"137" 9 24 11 71 9 14
"138" 13 112 12 71 9 15
"139" 46 237 7 78 9 16
"140" 18 224 14 67 9 17
"141" 13 27 10 76 9 18
"142" 24 238 10 68 9 19
"143" 16 201 8 82 9 20
"144" 13 238 13 64 9 21
"145" 23 14 9 71 9 22
"146" 36 139 10 81 9 23
"147" 7 49 10 69 9 24
"148" 14 20 17 63 9 25
"149" 30 193 7 70 9 26
"150" 26 145 13 77 9 27
"151" 14 191 14 75 9 28
"152" 18 131 8 76 9 29
"153" 20 223 12 68 9 30
