nazione;densita;urbana;vitafem;vitamas;alfabet;pil;relig
Argentina;12;86;75;68;95;3408;1
Armenia;126;68;75;68;98;5000;2
Australia;2;85;80;74;100;16848;3
Austria;94;58;79;73;99;18396;1
Barbados;605;45;78;73;99;6950;3
Belgio;329;96;79;73;99;17912;1
Bielorussia;50;65;76;66;99;6500;2
Bolivia;7;51;64;59;78;730;1
Brasile;18;75;67;57;81;2354;1
Bulgaria;79;68;75;69;93;3831;2
Burundi;216;5;50;46;50;208;1
Canada;3;77;81;74;97;19904;1
Cile;18;85;78;71;93;2591;1
Colombia;31;70;75;69;87;1538;1
Corea Sud;447;72;74;68;96;6627;3
Costa Rica;64;47;79;76;93;2031;1
Croazia;85;51;77;70;97;5487;1
Cuba;99;74;78;74;94;1382;1
Danimarca;120;85;79;73;99;18277;3
Ecuador;39;56;73;67;88;1085;1
El Salvador;246;44;69;64;73;1078;1
Estonia;36;72;76;67;99;6000;3
Filippine;221;43;68;63;90;867;1
Finlandia;39;60;80;72;100;15877;3
Francia;105;73;82;74;99;18944;1
Gabon;4;46;58;52;61;4283;1
Georgia;81;56;76;69;99;4500;2
Germania;227;85;79;73;99;17539;3
Gran Bretag.;237;89;80;74;99;15974;3
Grecia;80;63;80;75;93;8060;2
Guatemala;97;39;67;62;55;1342;1
Haiti;231;29;47;43;53;383;1
Honduras;46;44;70;65;73;1030;1
Irlanda;51;57;78;73;98;12170;1
Islanda;3;91;81;76;100;17241;3
Italia;188;69;81;74;97;17500;1
Kenya;49;24;55;51;69;323;1
Lettonia;40;71;75;64;99;7400;3
Lituania;58;69;77;68;99;6710;1
Messico;46;73;77;69;87;3604;1
Nicaragua;33;60;67;61;57;447;1
Norvegia;11;75;81;74;99;17755;3
Nuova Zeland;13;84;80;73;99;14381;3
Olanda;366;89;81;75;99;17245;1
Panama;34;53;78;71;88;2397;1
Paraguay;11;48;75;72;90;1500;1
Peru;18;70;67;63;85;1107;1
Polonia;123;62;77;69;99;4429;1
Portogallo;108;34;78;71;85;9000;1
Rep.C.Afric.;5;47;44;41;27;457;3
Rep.Ceca;132;60;77;69;80;7311;1
Rep.Dominic.;159;60;70;66;83;1034;1
Romania;96;54;75;69;96;2702;2
Russia;9;74;74;64;99;6680;2
Rwanda;311;6;46;43;50;292;1
Spagna;77;78;81;74;95;13047;1
Stati Uniti;26;75;79;73;97;23474;3
Sudafrica;35;49;68;62;76;3128;3
Svezia;19;84;81;75;99;16900;3
Svizzera;170;62;82;75;99;22384;1
Ucraina;87;67;75;65;97;2340;2
Uganda;76;11;43;41;48;325;1
Ungheria;111;64;76;67;99;5249;1
Uruguay;18;89;77;71;96;3131;1
Venezuela;22;91;76;70;88;2829;1
Zambia;11;42;45;44;73;573;3
