schid;stuid;ses;meanses;homework;white;parented;public;ratio;percmin;math;sex;race;sctype;scsize;urban;region;schnum
7472;3;-0.129999995;-0.482608706;1;1;2;1;19;0;48;2;4;1;3;2;2;1
7472;8;-0.389999986;-0.482608706;0;1;2;1;19;0;48;1;4;1;3;2;2;1
7472;13;-0.800000012;-0.482608706;0;1;2;1;19;0;53;1;4;1;3;2;2;1
7472;17;-0.720000029;-0.482608706;1;1;2;1;19;0;42;1;4;1;3;2;2;1
7472;27;-0.74000001;-0.482608706;2;1;2;1;19;0;43;2;4;1;3;2;2;1
7472;28;-0.579999983;-0.482608706;1;1;2;1;19;0;57;2;4;1;3;2;2;1
7472;30;-0.829999983;-0.482608706;5;1;2;1;19;0;33;2;4;1;3;2;2;1
7472;36;-0.50999999;-0.482608706;1;1;3;1;19;0;64;1;4;1;3;2;2;1
7472;37;-0.560000002;-0.482608706;1;1;2;1;19;0;36;2;4;1;3;2;2;1
7472;42;0.209999993;-0.482608706;2;1;3;1;19;0;56;2;4;1;3;2;2;1
7472;52;-0.699999988;-0.482608706;1;1;2;1;19;0;48;2;4;1;3;2;2;1
7472;53;-0.189999998;-0.482608706;1;1;3;1;19;0;48;1;4;1;3;2;2;1
7472;61;-1.340000033;-0.482608706;1;1;2;1;19;0;44;1;4;1;3;2;2;1
7472;64;-1.580000043;-0.482608706;2;1;1;1;19;0;35;2;4;1;3;2;2;1
7472;72;-0.050000001;-0.482608706;1;1;2;1;19;0;50;2;4;1;3;2;2;1
7472;83;-0.5;-0.482608706;4;1;3;1;19;0;36;2;4;1;3;2;2;1
7472;84;-0.25999999;-0.482608706;1;1;3;1;19;0;47;2;4;1;3;2;2;1
7472;85;-0.939999998;-0.482608706;2;1;1;1;19;0;41;2;4;1;3;2;2;1
7472;88;-0.460000008;-0.482608706;1;1;3;1;19;0;42;2;4;1;3;2;2;1
7472;93;-0.389999986;-0.482608706;1;1;3;1;19;0;49;1;4;1;3;2;2;1
7472;94;0.579999983;-0.482608706;1;1;3;1;19;0;39;2;4;1;3;2;2;1
7472;96;0.479999989;-0.482608706;1;1;3;1;19;0;45;1;4;1;3;2;2;1
7472;99;-0.699999988;-0.482608706;1;1;3;1;19;0;48;2;4;1;3;2;2;1
7829;0;-1.24000001;-0.84799999;2;0;3;1;18;7;58;2;3;1;3;1;2;2
7829;15;-1.539999962;-0.84799999;2;0;2;1;18;7;43;1;3;1;3;1;2;2
7829;17;-1.059999943;-0.84799999;1;0;1;1;18;7;49;1;3;1;3;1;2;2
7829;20;-0.02;-0.84799999;1;0;3;1;18;7;42;1;3;1;3;1;2;2
7829;24;-1.629999995;-0.84799999;5;0;1;1;18;7;35;2;3;1;3;1;2;2
7829;25;-0.389999986;-0.84799999;2;0;2;1;18;7;38;1;3;1;3;1;2;2
